Month,Year,Precip
0,1920,7.06
1,1920,0.85
2,1920,4.08
3,1920,2.40
4,1920,6.47
5,1920,4.54
6,1920,8.99
7,1920,8.94
8,1920,6.77
9,1920,2.04
10,1920,0.73
11,1920,5.41
0,1921,6.40
1,1921,7.39
2,1921,4.59
3,1921,0.42
4,1921,6.48
5,1921,8.57
6,1921,4.51
7,1921,3.91
8,1921,7.03
9,1921,2.45
10,1921,8.46
11,1921,6.93
0,1922,3.80
1,1922,5.42
2,1922,5.36
3,1922,9.87
4,1922,1.64
5,1922,4.41
6,1922,9.53
7,1922,9.35
8,1922,7.79
9,1922,6.81
10,1922,7.20
11,1922,9.95
0,1923,0.34
1,1923,8.57
2,1923,7.04
3,1923,4.72
4,1923,3.04
5,1923,6.85
6,1923,3.45
7,1923,7.40
8,1923,7.36
9,1923,7.32
10,1923,6.84
11,1923,0.22
0,1924,6.73
1,1924,6.46
2,1924,0.00
3,1924,3.38
4,1924,5.95
5,1924,6.15
6,1924,3.45
7,1924,6.20
8,1924,0.72
9,1924,1.13
10,1924,5.39
11,1924,5.30
0,1925,8.63
1,1925,9.95
2,1925,4.02
3,1925,2.37
4,1925,2.70
5,1925,6.58
6,1925,0.72
7,1925,2.38
8,1925,3.45
9,1925,2.89
10,1925,2.88
11,1925,3.47
0,1926,3.23
1,1926,1.86
2,1926,4.09
3,1926,1.22
4,1926,9.20
5,1926,7.77
6,1926,7.69
7,1926,3.45
8,1926,8.00
9,1926,2.02
10,1926,6.90
11,1926,6.41
0,1927,5.08
1,1927,3.15
2,1927,0.93
3,1927,9.53
4,1927,6.98
5,1927,4.88
6,1927,2.07
7,1927,4.06
8,1927,2.88
9,1927,9.04
10,1927,2.87
11,1927,0.15
0,1928,4.74
1,1928,8.96
2,1928,6.36
3,1928,8.29
4,1928,2.16
5,1928,4.49
6,1928,4.51
7,1928,3.26
8,1928,8.69
9,1928,2.22
10,1928,1.83
11,1928,3.49
0,1929,1.40
1,1929,2.91
2,1929,1.84
3,1929,3.79
4,1929,4.51
5,1929,3.54
6,1929,3.68
7,1929,7.44
8,1929,0.64
9,1929,3.41
10,1929,4.87
11,1929,1.89
0,1930,0.61
1,1930,1.64
2,1930,4.53
3,1930,3.13
4,1930,3.72
5,1930,9.07
6,1930,7.62
7,1930,5.79
8,1930,5.66
9,1930,8.45
10,1930,7.36
11,1930,9.26
0,1931,0.43
1,1931,5.33
2,1931,7.73
3,1931,5.75
4,1931,6.17
5,1931,6.53
6,1931,2.04
7,1931,2.38
8,1931,1.80
9,1931,4.38
10,1931,6.87
11,1931,8.07
0,1932,3.32
1,1932,2.55
2,1932,2.92
3,1932,5.59
4,1932,3.80
5,1932,3.91
6,1932,5.39
7,1932,0.52
8,1932,0.67
9,1932,1.46
10,1932,7.23
11,1932,1.79
0,1933,7.76
1,1933,1.02
2,1933,7.58
3,1933,3.28
4,1933,7.17
5,1933,8.45
6,1933,6.75
7,1933,1.36
8,1933,7.64
9,1933,4.54
10,1933,6.01
11,1933,1.71
0,1934,2.20
1,1934,8.14
2,1934,7.65
3,1934,7.22
4,1934,7.56
5,1934,1.64
6,1934,6.13
7,1934,9.94
8,1934,1.78
9,1934,3.21
10,1934,5.81
11,1934,2.34
0,1935,4.72
1,1935,7.13
2,1935,4.85
3,1935,6.71
4,1935,7.83
5,1935,6.95
6,1935,7.53
7,1935,7.44
8,1935,6.06
9,1935,6.06
10,1935,9.03
11,1935,7.46
0,1936,4.75
1,1936,6.90
2,1936,8.11
3,1936,9.04
4,1936,8.86
5,1936,3.17
6,1936,2.73
7,1936,9.04
8,1936,9.89
9,1936,8.95
10,1936,3.02
11,1936,0.56
0,1937,8.55
1,1937,4.85
2,1937,4.21
3,1937,6.03
4,1937,7.50
5,1937,4.28
6,1937,9.12
7,1937,1.74
8,1937,9.06
9,1937,2.02
10,1937,6.39
11,1937,0.10
0,1938,7.50
1,1938,3.38
2,1938,5.86
3,1938,3.93
4,1938,3.77
5,1938,4.66
6,1938,6.86
7,1938,6.39
8,1938,3.77
9,1938,4.47
10,1938,8.81
11,1938,1.63
0,1939,7.61
1,1939,1.45
2,1939,6.06
3,1939,3.28
4,1939,8.31
5,1939,5.72
6,1939,0.30
7,1939,2.77
8,1939,3.28
9,1939,0.21
10,1939,4.87
11,1939,4.55
0,1940,0.83
1,1940,3.53
2,1940,4.74
3,1940,3.12
4,1940,7.06
5,1940,7.50
6,1940,5.02
7,1940,5.40
8,1940,5.38
9,1940,1.20
10,1940,8.35
11,1940,2.39
0,1941,2.34
1,1941,8.21
2,1941,8.80
3,1941,6.24
4,1941,8.31
5,1941,5.24
6,1941,5.76
7,1941,2.27
8,1941,1.20
9,1941,8.50
10,1941,6.26
11,1941,0.63
0,1942,4.32
1,1942,8.85
2,1942,8.35
3,1942,9.09
4,1942,7.25
5,1942,7.83
6,1942,1.47
7,1942,6.46
8,1942,9.84
9,1942,4.65
10,1942,1.68
11,1942,6.32
0,1943,5.01
1,1943,8.45
2,1943,1.18
3,1943,1.69
4,1943,5.57
5,1943,1.08
6,1943,1.91
7,1943,4.59
8,1943,4.09
9,1943,3.13
10,1943,2.09
11,1943,8.69
0,1944,2.30
1,1944,9.86
2,1944,3.66
3,1944,9.40
4,1944,8.46
5,1944,4.57
6,1944,5.44
7,1944,3.50
8,1944,6.92
9,1944,3.70
10,1944,4.07
11,1944,9.24
0,1945,3.93
1,1945,2.09
2,1945,9.95
3,1945,9.13
4,1945,7.78
5,1945,6.67
6,1945,0.52
7,1945,9.35
8,1945,9.35
9,1945,4.18
10,1945,6.78
11,1945,4.17
0,1946,1.18
1,1946,1.51
2,1946,1.90
3,1946,8.73
4,1946,9.47
5,1946,7.49
6,1946,2.70
7,1946,0.79
8,1946,3.28
9,1946,1.25
10,1946,5.77
11,1946,0.67
0,1947,0.04
1,1947,5.78
2,1947,9.97
3,1947,8.45
4,1947,4.10
5,1947,4.37
6,1947,6.31
7,1947,9.50
8,1947,8.13
9,1947,4.50
10,1947,4.21
11,1947,2.43
0,1948,3.04
1,1948,5.90
2,1948,0.50
3,1948,8.62
4,1948,3.15
5,1948,9.43
6,1948,3.80
7,1948,8.45
8,1948,7.43
9,1948,8.79
10,1948,2.26
11,1948,7.78
0,1949,6.62
1,1949,0.08
2,1949,6.97
3,1949,7.42
4,1949,8.62
5,1949,2.73
6,1949,7.13
7,1949,9.43
8,1949,1.20
9,1949,1.36
10,1949,5.20
11,1949,6.81
0,1950,2.19
1,1950,0.01
2,1950,2.24
3,1950,7.24
4,1950,1.90
5,1950,9.07
6,1950,4.09
7,1950,7.43
8,1950,1.63
9,1950,0.37
10,1950,8.93
11,1950,1.65
0,1951,5.17
1,1951,7.85
2,1951,5.33
3,1951,7.27
4,1951,7.20
5,1951,9.60
6,1951,8.10
7,1951,0.32
8,1951,3.62
9,1951,2.09
10,1951,5.85
11,1951,6.11
0,1952,4.22
1,1952,8.73
2,1952,0.37
3,1952,3.66
4,1952,7.08
5,1952,3.38
6,1952,2.85
7,1952,7.59
8,1952,7.68
9,1952,3.60
10,1952,6.20
11,1952,8.09
0,1953,2.98
1,1953,0.16
2,1953,5.81
3,1953,7.50
4,1953,2.18
5,1953,6.71
6,1953,3.27
7,1953,2.25
8,1953,1.41
9,1953,8.00
10,1953,9.14
11,1953,9.84
0,1954,9.18
1,1954,6.07
2,1954,0.86
3,1954,3.87
4,1954,3.07
5,1954,1.15
6,1954,1.54
7,1954,4.48
8,1954,5.78
9,1954,7.96
10,1954,3.87
11,1954,7.44
0,1955,0.52
1,1955,8.99
2,1955,0.75
3,1955,3.09
4,1955,1.60
5,1955,3.28
6,1955,1.13
7,1955,5.42
8,1955,5.65
9,1955,2.86
10,1955,4.87
11,1955,1.98
0,1956,3.34
1,1956,9.60
2,1956,5.57
3,1956,8.27
4,1956,9.07
5,1956,1.80
6,1956,3.75
7,1956,3.53
8,1956,8.45
9,1956,3.30
10,1956,5.92
11,1956,0.73
0,1957,9.31
1,1957,8.00
2,1957,6.73
3,1957,0.13
4,1957,2.44
5,1957,9.05
6,1957,2.61
7,1957,4.90
8,1957,2.28
9,1957,5.17
10,1957,5.25
11,1957,6.87
0,1958,6.33
1,1958,6.14
2,1958,2.40
3,1958,2.50
4,1958,4.18
5,1958,5.81
6,1958,1.55
7,1958,2.29
8,1958,3.83
9,1958,3.70
10,1958,9.50
11,1958,1.73
0,1959,3.19
1,1959,5.58
2,1959,6.99
3,1959,8.22
4,1959,9.56
5,1959,9.42
6,1959,2.74
7,1959,6.26
8,1959,8.02
9,1959,5.55
10,1959,6.25
11,1959,2.98
0,1960,3.07
1,1960,8.78
2,1960,1.35
3,1960,6.69
4,1960,3.88
5,1960,5.92
6,1960,5.94
7,1960,4.27
8,1960,5.00
9,1960,4.49
10,1960,4.20
11,1960,7.05
0,1961,8.75
1,1961,6.62
2,1961,8.78
3,1961,0.62
4,1961,4.85
5,1961,8.06
6,1961,9.88
7,1961,1.63
8,1961,5.59
9,1961,3.48
10,1961,7.05
11,1961,2.97
0,1962,2.12
1,1962,8.13
2,1962,7.47
3,1962,9.79
4,1962,8.44
5,1962,0.55
6,1962,1.27
7,1962,0.25
8,1962,4.98
9,1962,2.71
10,1962,0.43
11,1962,8.91
0,1963,2.85
1,1963,2.07
2,1963,3.01
3,1963,5.44
4,1963,3.25
5,1963,4.70
6,1963,8.43
7,1963,8.29
8,1963,3.79
9,1963,9.69
10,1963,2.66
11,1963,1.04
0,1964,5.10
1,1964,3.04
2,1964,4.62
3,1964,9.05
4,1964,6.46
5,1964,3.52
6,1964,6.09
7,1964,5.38
8,1964,8.95
9,1964,3.79
10,1964,8.10
11,1964,7.86
0,1965,7.97
1,1965,7.65
2,1965,6.02
3,1965,3.77
4,1965,5.10
5,1965,8.36
6,1965,3.98
7,1965,4.57
8,1965,0.53
9,1965,3.43
10,1965,7.07
11,1965,0.84
0,1966,3.67
1,1966,8.46
2,1966,6.06
3,1966,6.57
4,1966,8.97
5,1966,6.56
6,1966,5.33
7,1966,3.13
8,1966,8.20
9,1966,9.75
10,1966,9.27
11,1966,4.93
0,1967,8.36
1,1967,6.05
2,1967,6.24
3,1967,3.30
4,1967,6.59
5,1967,8.89
6,1967,2.05
7,1967,0.14
8,1967,9.38
9,1967,6.01
10,1967,6.92
11,1967,9.92
0,1968,3.75
1,1968,0.91
2,1968,0.72
3,1968,7.58
4,1968,2.34
5,1968,3.60
6,1968,1.45
7,1968,9.27
8,1968,2.59
9,1968,6.61
10,1968,1.01
11,1968,5.44
0,1969,2.57
1,1969,8.82
2,1969,0.42
3,1969,8.16
4,1969,2.70
5,1969,1.98
6,1969,4.01
7,1969,0.23
8,1969,2.77
9,1969,4.70
10,1969,8.23
11,1969,9.13
0,1970,8.48
1,1970,4.19
2,1970,6.35
3,1970,7.68
4,1970,0.41
5,1970,8.48
6,1970,4.32
7,1970,2.03
8,1970,0.83
9,1970,1.35
10,1970,7.15
11,1970,9.14
0,1971,0.59
1,1971,7.17
2,1971,7.02
3,1971,8.42
4,1971,9.42
5,1971,5.44
6,1971,6.56
7,1971,6.19
8,1971,7.36
9,1971,3.44
10,1971,1.05
11,1971,7.72
0,1972,4.55
1,1972,0.57
2,1972,3.13
3,1972,8.66
4,1972,9.13
5,1972,9.95
6,1972,2.41
7,1972,6.55
8,1972,0.49
9,1972,1.18
10,1972,0.20
11,1972,3.81
0,1973,6.00
1,1973,3.11
2,1973,6.68
3,1973,5.21
4,1973,4.55
5,1973,7.14
6,1973,3.38
7,1973,6.76
8,1973,9.72
9,1973,9.46
10,1973,9.49
11,1973,7.81
0,1974,8.53
1,1974,5.44
2,1974,4.15
3,1974,4.98
4,1974,9.07
5,1974,0.62
6,1974,0.18
7,1974,4.84
8,1974,2.02
9,1974,0.41
10,1974,7.07
11,1974,1.87
0,1975,6.34
1,1975,5.04
2,1975,2.30
3,1975,9.82
4,1975,9.07
5,1975,7.21
6,1975,0.18
7,1975,7.40
8,1975,2.88
9,1975,7.35
10,1975,7.23
11,1975,3.83
0,1976,2.65
1,1976,5.43
2,1976,1.29
3,1976,5.68
4,1976,4.13
5,1976,8.77
6,1976,9.26
7,1976,4.37
8,1976,3.58
9,1976,2.67
10,1976,4.86
11,1976,2.39
0,1977,7.25
1,1977,4.20
2,1977,3.61
3,1977,7.65
4,1977,3.25
5,1977,9.83
6,1977,6.90
7,1977,7.19
8,1977,6.86
9,1977,4.49
10,1977,0.74
11,1977,5.56
0,1978,1.81
1,1978,2.97
2,1978,7.80
3,1978,8.77
4,1978,6.78
5,1978,4.62
6,1978,3.19
7,1978,1.33
8,1978,6.14
9,1978,8.69
10,1978,5.37
11,1978,2.83
0,1979,8.42
1,1979,1.09
2,1979,3.69
3,1979,0.44
4,1979,4.37
5,1979,2.50
6,1979,3.18
7,1979,5.52
8,1979,8.70
9,1979,4.44
10,1979,5.42
11,1979,5.54
0,1980,6.16
1,1980,2.48
2,1980,1.32
3,1980,7.76
4,1980,3.15
5,1980,5.08
6,1980,8.33
7,1980,6.96
8,1980,0.53
9,1980,2.61
10,1980,9.65
11,1980,7.94
0,1981,2.05
1,1981,3.41
2,1981,7.46
3,1981,2.69
4,1981,5.47
5,1981,2.91
6,1981,5.92
7,1981,3.28
8,1981,0.20
9,1981,7.37
10,1981,1.94
11,1981,4.30
0,1982,6.16
1,1982,5.95
2,1982,3.48
3,1982,2.55
4,1982,3.37
5,1982,3.48
6,1982,5.86
7,1982,7.77
8,1982,0.94
9,1982,1.84
10,1982,6.15
11,1982,5.33
0,1983,6.78
1,1983,9.36
2,1983,4.62
3,1983,0.61
4,1983,6.90
5,1983,6.21
6,1983,0.07
7,1983,5.52
8,1983,3.83
9,1983,8.92
10,1983,2.79
11,1983,9.24
0,1984,9.31
1,1984,8.25
2,1984,4.81
3,1984,9.22
4,1984,5.38
5,1984,3.23
6,1984,2.29
7,1984,3.14
8,1984,1.54
9,1984,8.45
10,1984,8.82
11,1984,9.82
0,1985,2.77
1,1985,3.11
2,1985,1.85
3,1985,4.63
4,1985,5.01
5,1985,8.08
6,1985,6.39
7,1985,5.39
8,1985,9.94
9,1985,1.58
10,1985,1.58
11,1985,5.73
0,1986,0.54
1,1986,4.88
2,1986,6.22
3,1986,5.99
4,1986,2.73
5,1986,7.15
6,1986,8.48
7,1986,6.14
8,1986,5.72
9,1986,2.24
10,1986,3.75
11,1986,1.38
0,1987,5.93
1,1987,1.20
2,1987,1.93
3,1987,8.66
4,1987,4.80
5,1987,1.19
6,1987,2.36
7,1987,1.45
8,1987,0.89
9,1987,5.20
10,1987,9.88
11,1987,1.07
0,1988,0.54
1,1988,7.50
2,1988,0.64
3,1988,4.90
4,1988,9.45
5,1988,6.23
6,1988,9.70
7,1988,5.94
8,1988,9.59
9,1988,8.32
10,1988,5.72
11,1988,3.59
0,1989,1.97
1,1989,1.55
2,1989,9.57
3,1989,2.19
4,1989,5.92
5,1989,5.45
6,1989,5.01
7,1989,3.01
8,1989,0.17
9,1989,5.47
10,1989,9.31
11,1989,4.98
0,1990,8.72
1,1990,4.85
2,1990,1.24
3,1990,1.36
4,1990,7.58
5,1990,4.52
6,1990,1.46
7,1990,2.88
8,1990,4.33
9,1990,4.46
10,1990,8.16
11,1990,2.51
0,1991,3.32
1,1991,9.02
2,1991,6.56
3,1991,3.56
4,1991,3.82
5,1991,4.80
6,1991,6.80
7,1991,0.60
8,1991,7.02
9,1991,2.06
10,1991,8.53
11,1991,2.28
0,1992,0.48
1,1992,9.63
2,1992,4.70
3,1992,6.34
4,1992,5.55
5,1992,9.12
6,1992,8.92
7,1992,9.28
8,1992,3.94
9,1992,5.97
10,1992,2.93
11,1992,7.89
0,1993,4.49
1,1993,4.12
2,1993,1.06
3,1993,5.27
4,1993,0.37
5,1993,5.79
6,1993,8.35
7,1993,1.26
8,1993,9.78
9,1993,0.32
10,1993,7.91
11,1993,6.34
0,1994,0.22
1,1994,3.80
2,1994,0.91
3,1994,8.18
4,1994,7.79
5,1994,6.79
6,1994,9.45
7,1994,2.27
8,1994,8.01
9,1994,8.44
10,1994,8.52
11,1994,1.51
0,1995,3.97
1,1995,3.84
2,1995,8.61
3,1995,4.71
4,1995,0.83
5,1995,5.71
6,1995,4.14
7,1995,0.88
8,1995,3.45
9,1995,3.18
10,1995,6.56
11,1995,4.07
0,1996,4.77
1,1996,7.76
2,1996,2.76
3,1996,3.75
4,1996,8.82
5,1996,1.21
6,1996,1.17
7,1996,6.72
8,1996,1.10
9,1996,0.98
10,1996,7.86
11,1996,9.72
0,1997,3.28
1,1997,6.09
2,1997,4.71
3,1997,6.37
4,1997,6.48
5,1997,0.58
6,1997,9.99
7,1997,8.03
8,1997,9.50
9,1997,2.19
10,1997,9.42
11,1997,5.97
0,1998,3.81
1,1998,1.14
2,1998,2.17
3,1998,1.21
4,1998,7.40
5,1998,7.39
6,1998,2.16
7,1998,9.34
8,1998,3.22
9,1998,5.42
10,1998,9.59
11,1998,9.91
0,1999,6.19
1,1999,1.92
2,1999,1.57
3,1999,3.66
4,1999,4.70
5,1999,5.79
6,1999,3.42
7,1999,6.66
8,1999,8.72
9,1999,9.20
10,1999,4.21
11,1999,7.02
0,2000,6.81
1,2000,5.46
2,2000,1.24
3,2000,8.76
4,2000,8.70
5,2000,2.33
6,2000,7.91
7,2000,7.31
8,2000,8.18
9,2000,9.06
10,2000,8.81
11,2000,2.94
0,2001,3.80
1,2001,1.80
2,2001,3.85
3,2001,1.54
4,2001,0.98
5,2001,4.60
6,2001,0.68
7,2001,7.13
8,2001,9.96
9,2001,2.84
10,2001,0.68
11,2001,6.84
0,2002,8.24
1,2002,1.46
2,2002,9.46
3,2002,6.81
4,2002,5.25
5,2002,3.31
6,2002,7.02
7,2002,7.33
8,2002,9.22
9,2002,1.43
10,2002,6.20
11,2002,6.33
0,2003,3.43
1,2003,5.25
2,2003,0.91
3,2003,3.05
4,2003,9.51
5,2003,2.31
6,2003,6.68
7,2003,7.86
8,2003,0.50
9,2003,6.15
10,2003,7.35
11,2003,0.13
0,2004,5.35
1,2004,6.31
2,2004,1.03
3,2004,3.04
4,2004,9.56
5,2004,7.99
6,2004,7.45
7,2004,3.46
8,2004,3.58
9,2004,7.62
10,2004,6.61
11,2004,5.18
0,2005,2.07
1,2005,5.20
2,2005,5.59
3,2005,5.93
4,2005,1.83
5,2005,6.38
6,2005,6.44
7,2005,2.14
8,2005,6.07
9,2005,4.52
10,2005,2.91
11,2005,0.58
0,2006,5.46
1,2006,8.53
2,2006,8.16
3,2006,2.55
4,2006,4.21
5,2006,2.79
6,2006,8.51
7,2006,4.75
8,2006,0.64
9,2006,3.63
10,2006,0.79
11,2006,0.64
0,2007,7.28
1,2007,1.03
2,2007,1.83
3,2007,7.50
4,2007,5.27
5,2007,5.26
6,2007,9.32
7,2007,7.33
8,2007,1.10
9,2007,5.38
10,2007,2.44
11,2007,4.37
0,2008,1.99
1,2008,0.96
2,2008,9.33
3,2008,7.76
4,2008,7.34
5,2008,8.48
6,2008,5.82
7,2008,5.91
8,2008,0.11
9,2008,1.49
10,2008,6.72
11,2008,7.99
0,2009,1.36
1,2009,7.02
2,2009,6.31
3,2009,8.86
4,2009,5.62
5,2009,1.21
6,2009,9.78
7,2009,6.08
8,2009,2.36
9,2009,3.72
10,2009,0.80
11,2009,1.49
0,2010,1.14
1,2010,4.36
2,2010,3.55
3,2010,5.19
4,2010,4.13
5,2010,4.63
6,2010,9.34
7,2010,7.04
8,2010,9.91
9,2010,4.25
10,2010,8.85
11,2010,8.93
0,2011,6.60
1,2011,5.06
2,2011,1.31
3,2011,1.66
4,2011,0.83
5,2011,4.88
6,2011,0.82
7,2011,1.63
8,2011,1.51
9,2011,9.93
10,2011,8.24
11,2011,5.85
0,2012,3.53
1,2012,7.09
2,2012,4.45
3,2012,8.80
4,2012,7.46
5,2012,6.92
6,2012,6.92
7,2012,0.77
8,2012,5.44
9,2012,3.90
10,2012,6.87
11,2012,5.38
0,2013,2.48
1,2013,3.19
2,2013,9.00
3,2013,3.52
4,2013,4.95
5,2013,1.92
6,2013,8.83
7,2013,1.99
8,2013,4.58
9,2013,8.93
10,2013,5.63
11,2013,7.60
0,2014,7.63
1,2014,8.60
2,2014,0.29
3,2014,1.97
4,2014,3.29
5,2014,3.76
6,2014,8.27
7,2014,7.72
8,2014,4.52
9,2014,7.24
10,2014,7.44
11,2014,4.28
