Date,Station,Precip
1/12/2016,1,3.56
1/12/2016,2,2.94
1/12/2016,3,6.8
1/12/2016,4,4.56
1/12/2016,5,0.37
1/12/2016,6,1.78
1/12/2016,7,2.42
1/12/2016,8,3.34
1/13/2016,0,7.25
1/13/2016,1,2.7
1/13/2016,2,0.71
1/13/2016,3,9.58
1/13/2016,4,9.34
1/13/2016,5,0.36
1/13/2016,6,2.9
1/13/2016,7,0.6
1/13/2016,8,4.97
1/14/2016,0,4.05
1/14/2016,1,8.14
1/14/2016,2,6.76
1/14/2016,3,0.04
1/14/2016,4,8.82
1/14/2016,5,0.53
1/14/2016,6,0.08
1/14/2016,7,6.54
1/14/2016,8,7.12
1/15/2016,0,7.14
1/15/2016,1,0.45
1/15/2016,2,2.12
1/15/2016,3,9.44
1/15/2016,4,1.48
1/15/2016,5,5.71
1/15/2016,6,2.84
1/15/2016,7,9.33
1/15/2016,8,8.53
1/16/2016,0,7.13
1/16/2016,1,2.48
1/16/2016,2,3.93
1/16/2016,3,1.56
1/16/2016,4,1.18
1/16/2016,5,0.21
1/16/2016,6,6.41
1/16/2016,7,5.43
1/16/2016,8,1.56
1/17/2016,0,2.91
1/17/2016,1,0.82
1/17/2016,2,8.3
1/17/2016,3,3.16
1/17/2016,4,9.47
1/17/2016,5,2.85
1/17/2016,6,1.64
1/17/2016,7,0.88
1/17/2016,8,2.68
1/18/2016,0,2.47
1/18/2016,1,8.37
1/18/2016,2,1.75
1/18/2016,3,8.08
1/18/2016,4,5.53
1/18/2016,5,0.19
1/18/2016,6,8.49
1/18/2016,7,0.5
1/18/2016,8,1.8
1/19/2016,0,8.31
1/19/2016,1,6.24
1/19/2016,2,6.24
1/19/2016,3,6.57
1/19/2016,4,6.12
1/19/2016,5,1.8
1/19/2016,6,2.97
1/19/2016,7,0.94
1/19/2016,8,8.46
1/20/2016,0,6.7
1/20/2016,1,0.08
1/20/2016,2,4.08
1/20/2016,3,9.84
1/20/2016,4,0.9
1/20/2016,5,9.11
1/20/2016,6,6.81
1/20/2016,7,3
1/20/2016,8,4.36
1/21/2016,0,8.03
1/21/2016,1,1.9
1/21/2016,2,0.11
1/21/2016,3,7.03
1/21/2016,4,3.01
1/21/2016,5,0.99
1/21/2016,6,1.18
1/21/2016,7,6.33
1/21/2016,8,8.44
1/22/2016,0,2.02
1/22/2016,1,7.97
1/22/2016,2,3.01
1/22/2016,3,9.21
1/22/2016,4,3.7
1/22/2016,5,7.48
1/22/2016,6,2.59
1/22/2016,7,9.39
1/22/2016,8,5.76
1/23/2016,0,5.67
1/23/2016,1,9.53
1/23/2016,2,7.8
1/23/2016,3,4.34
1/23/2016,4,0.94
1/23/2016,5,5.9
1/23/2016,6,4.09
1/23/2016,7,2.38
1/23/2016,8,7
1/24/2016,0,4.32
1/24/2016,1,8.93
1/24/2016,2,3.45
1/24/2016,3,6.2
1/24/2016,4,7.5
1/24/2016,5,7.45
1/24/2016,6,6.23
1/24/2016,7,7.98
1/24/2016,8,3.28
1/25/2016,0,8.68
1/25/2016,1,3.47
1/25/2016,2,1.66
1/25/2016,3,4.15
1/25/2016,4,2.38
1/25/2016,5,6.09
1/25/2016,6,9.3
1/25/2016,7,5.48
1/25/2016,8,0.96
1/26/2016,0,8.15
1/26/2016,1,2.27
1/26/2016,2,4.57
1/26/2016,3,6.57
1/26/2016,4,2.81
1/26/2016,5,4.56
1/26/2016,6,6.13
1/26/2016,7,2.4
1/26/2016,8,3.13
1/27/2016,0,7.25
1/27/2016,1,5.72
1/27/2016,2,2.95
1/27/2016,3,3.89
1/27/2016,4,0.66
1/27/2016,5,4.41
1/27/2016,6,9.96
1/27/2016,7,2.32
1/27/2016,8,5.44
1/28/2016,0,1.95
1/28/2016,1,9.84
1/28/2016,2,6.19
1/28/2016,3,9.3
1/28/2016,4,5.37
1/28/2016,5,3.12
1/28/2016,6,7.74
1/28/2016,7,3.34
1/28/2016,8,2.55
1/29/2016,0,8.96
1/29/2016,1,0.27
1/29/2016,2,1.13
1/29/2016,3,7.58
1/29/2016,4,5.46
1/29/2016,5,2.52
1/29/2016,6,3.75
1/29/2016,7,5.7
1/29/2016,8,2.22
1/30/2016,0,2.64
1/30/2016,1,6.34
1/30/2016,2,0.99
1/30/2016,3,2.46
1/30/2016,4,9.51
1/30/2016,5,5.02
1/30/2016,6,9.25
1/30/2016,7,0.54
1/30/2016,8,4.48
1/31/2016,0,8.28
1/31/2016,1,1.49
1/31/2016,2,5.28
1/31/2016,3,0.35
1/31/2016,4,3.7
1/31/2016,5,1.5
1/31/2016,6,0.54
1/31/2016,7,7.93
1/31/2016,8,8.93
2/1/2016,0,1.66
2/1/2016,1,2.52
2/1/2016,2,2.45
2/1/2016,3,5.79
2/1/2016,4,7.34
2/1/2016,5,7.47
2/1/2016,6,3.67
2/1/2016,7,7.81
2/1/2016,8,9.35
2/2/2016,0,4.46
2/2/2016,1,3.67
2/2/2016,2,4.19
2/2/2016,3,7.8
2/2/2016,4,5.15
2/2/2016,5,5.85
2/2/2016,6,8.09
2/2/2016,7,8.34
2/2/2016,8,6.99
2/3/2016,0,7.16
2/3/2016,1,2.67
2/3/2016,2,3.54
2/3/2016,3,6.19
2/3/2016,4,3.04
2/3/2016,5,6.55
2/3/2016,6,7.94
2/3/2016,7,4.69
2/3/2016,8,1.22
2/4/2016,0,8.98
2/4/2016,1,5.33
2/4/2016,2,8.45
2/4/2016,3,6.3
2/4/2016,4,6.17
2/4/2016,5,0.64
2/4/2016,6,5.17
2/4/2016,7,1.5
2/4/2016,8,2.32
2/5/2016,0,6.89
2/5/2016,1,5.96
2/5/2016,2,8.07
2/5/2016,3,2.87
2/5/2016,4,9.71
2/5/2016,5,9.27
2/5/2016,6,5.55
2/5/2016,7,2.85
2/5/2016,8,8.21
2/6/2016,0,5.08
2/6/2016,1,7.93
2/6/2016,2,0.33
2/6/2016,3,0.89
2/6/2016,4,4.08
2/6/2016,5,1.99
2/6/2016,6,3.43
2/6/2016,7,9.9
2/6/2016,8,9.39
2/7/2016,0,3.87
2/7/2016,1,9.41
2/7/2016,2,5.03
2/7/2016,3,8.53
2/7/2016,4,9.22
2/7/2016,5,6.36
2/7/2016,6,1.37
2/7/2016,7,8.91
2/7/2016,8,0.34
2/8/2016,0,0.88
2/8/2016,1,0.85
2/8/2016,2,3.48
2/8/2016,3,1.1
2/8/2016,4,0.16
2/8/2016,5,8.62
2/8/2016,6,2.17
2/8/2016,7,6.49
2/8/2016,8,3.27
2/9/2016,0,9.63
2/9/2016,1,0.84
2/9/2016,2,9.37
2/9/2016,3,4.28
2/9/2016,4,9.45
2/9/2016,5,1.79
2/9/2016,6,0.92
2/9/2016,7,9.45
2/9/2016,8,6.13
2/10/2016,0,9.03
2/10/2016,1,5.35
2/10/2016,2,1.75
2/10/2016,3,6.65
2/10/2016,4,7.04
2/10/2016,5,1.45
2/10/2016,6,8.55
2/10/2016,7,2.3
2/10/2016,8,4.02
2/11/2016,0,5.61
2/11/2016,1,2.61
2/11/2016,2,2.22
2/11/2016,3,9.04
2/11/2016,4,1.17
2/11/2016,5,2.16
2/11/2016,6,3.36
2/11/2016,7,8.32
2/11/2016,8,9.21
2/12/2016,0,3.22
2/12/2016,1,8.09
2/12/2016,2,7.08
2/12/2016,3,4.22
2/12/2016,4,6.21
2/12/2016,5,7.69
2/12/2016,6,2.32
2/12/2016,7,6.19
2/12/2016,8,9.23
2/13/2016,0,1.33
2/13/2016,1,6.72
2/13/2016,2,7.64
2/13/2016,3,2.54
2/13/2016,4,4.99
2/13/2016,5,5.04
2/13/2016,6,9.84
2/13/2016,7,2.27
2/13/2016,8,4.44
2/14/2016,0,3.17
2/14/2016,1,7.79
2/14/2016,2,6.45
2/14/2016,3,9.39
2/14/2016,4,3.97
2/14/2016,5,7.54
2/14/2016,6,3.24
2/14/2016,7,3.59
2/14/2016,8,5.62
2/15/2016,0,2.46
2/15/2016,1,9.45
2/15/2016,2,6.79
2/15/2016,3,6.01
2/15/2016,4,7.61
2/15/2016,5,7.24
2/15/2016,6,0.47
2/15/2016,7,0.84
2/15/2016,8,2.4
2/16/2016,0,8.34
2/16/2016,1,8.17
2/16/2016,2,4.07
2/16/2016,3,2.07
2/16/2016,4,7.89
2/16/2016,5,5.64
2/16/2016,6,7.06
2/16/2016,7,8.35
2/16/2016,8,4.81
2/17/2016,0,3.11
2/17/2016,1,6.38
2/17/2016,2,7.53
2/17/2016,3,1.27
2/17/2016,4,3.99
2/17/2016,5,1.2
2/17/2016,6,2.19
2/17/2016,7,1.89
2/17/2016,8,0.38
2/18/2016,0,8.17
2/18/2016,1,9.37
2/18/2016,2,2.12
2/18/2016,3,5.15
2/18/2016,4,5.42
2/18/2016,5,3.35
2/18/2016,6,6.22
2/18/2016,7,4.72
2/18/2016,8,7.69
2/19/2016,0,6.36
2/19/2016,1,7.53
2/19/2016,2,4.61
2/19/2016,3,1.3
2/19/2016,4,4.09
2/19/2016,5,7.55
2/19/2016,6,1.65
2/19/2016,7,1.22
2/19/2016,8,5.67
2/20/2016,0,5.8
2/20/2016,1,3.32
2/20/2016,2,2.41
2/20/2016,3,9.94
2/20/2016,4,9.5
2/20/2016,5,4.51
2/20/2016,6,4.06
2/20/2016,7,0.71
2/20/2016,8,0.64
2/21/2016,0,6.41
2/21/2016,1,8.64
2/21/2016,2,3.62
2/21/2016,3,7.97
2/21/2016,4,0.64
2/21/2016,5,7.13
2/21/2016,6,6.61
2/21/2016,7,3.52
2/21/2016,8,4
2/22/2016,0,8.12
2/22/2016,1,3.91
2/22/2016,2,6.08
2/22/2016,3,5.7
2/22/2016,4,1.27
2/22/2016,5,0.8
2/22/2016,6,9.16
2/22/2016,7,9.58
2/22/2016,8,4.97
2/23/2016,0,2.86
2/23/2016,1,7.26
2/23/2016,2,8.13
2/23/2016,3,3.74
2/23/2016,4,8.41
2/23/2016,5,2.1
2/23/2016,6,4.09
2/23/2016,7,3.84
2/23/2016,8,7.63
2/24/2016,0,0.26
2/24/2016,1,7.88
2/24/2016,2,4
2/24/2016,3,5.15
2/24/2016,4,4.31
2/24/2016,5,5.98
2/24/2016,6,4.37
2/24/2016,7,5.48
2/24/2016,8,2.6
2/25/2016,0,6.18
2/25/2016,1,8.41
2/25/2016,2,2.25
2/25/2016,3,6.69
2/25/2016,4,0.52
2/25/2016,5,1.6
2/25/2016,6,3.06
2/25/2016,7,1.42
2/25/2016,8,5.69
2/26/2016,0,5.87
2/26/2016,1,1.06
2/26/2016,2,9.68
2/26/2016,3,3.68
2/26/2016,4,0.52
2/26/2016,5,3.79
2/26/2016,6,3.17
2/26/2016,7,2.6
2/26/2016,8,8.98
2/27/2016,0,7.08
2/27/2016,1,0.46
2/27/2016,2,8.61
2/27/2016,3,5.53
2/27/2016,4,9.17
2/27/2016,5,6.02
2/27/2016,6,5.21
2/27/2016,7,7.72
2/27/2016,8,5.87
2/28/2016,0,7.22
2/28/2016,1,5.4
2/28/2016,2,8.34
2/28/2016,3,2.94
2/28/2016,4,1.56
2/28/2016,5,5.5
2/28/2016,6,5.39
2/28/2016,7,5.66
2/28/2016,8,2.99
2/29/2016,0,6.85
2/29/2016,1,9.88
2/29/2016,2,9.04
2/29/2016,3,4.57
2/29/2016,4,3.05
2/29/2016,5,8.71
2/29/2016,6,4.09
2/29/2016,7,4.29
2/29/2016,8,5.97
3/1/2016,0,4.75
3/1/2016,1,7.09
3/1/2016,2,2.5
3/1/2016,3,3.14
3/1/2016,4,6.7
3/1/2016,5,8.96
3/1/2016,6,2.3
3/1/2016,7,3.18
3/1/2016,8,8.89
3/2/2016,0,1.49
3/2/2016,1,8.42
3/2/2016,2,3.11
3/2/2016,3,5.51
3/2/2016,4,5.34
3/2/2016,5,6.79
3/2/2016,6,3.62
3/2/2016,7,3.83
3/2/2016,8,2.76
3/3/2016,0,4
3/3/2016,1,3.91
3/3/2016,2,8.62
3/3/2016,3,3.93
3/3/2016,4,5.41
3/3/2016,5,7.7
3/3/2016,6,3.4
3/3/2016,7,2.29
3/3/2016,8,1.45
3/4/2016,0,6.03
3/4/2016,1,4.54
3/4/2016,2,8.11
3/4/2016,3,3.58
3/4/2016,4,0.33
3/4/2016,5,1.1
3/4/2016,6,4.14
3/4/2016,7,5.83
3/4/2016,8,1.52
3/5/2016,0,6.64
3/5/2016,1,9.47
3/5/2016,2,2.7
3/5/2016,3,6.83
3/5/2016,4,9.14
3/5/2016,5,9.93
3/5/2016,6,1.67
3/5/2016,7,6.43
3/5/2016,8,2.09
3/6/2016,0,4.3
3/6/2016,1,6.85
3/6/2016,2,6.08
3/6/2016,3,2.18
3/6/2016,4,5.58
3/6/2016,5,0.45
3/6/2016,6,0.41
3/6/2016,7,9.55
3/6/2016,8,5.82
3/7/2016,0,0.69
3/7/2016,1,3.87
3/7/2016,2,1.93
3/7/2016,3,0.96
3/7/2016,4,7.68
3/7/2016,5,2.7
3/7/2016,6,7.59
3/7/2016,7,9.65
3/7/2016,8,3.74
3/8/2016,0,1.99
3/8/2016,1,0.62
3/8/2016,2,6.07
3/8/2016,3,1.27
3/8/2016,4,6.3
3/8/2016,5,8.55
3/8/2016,6,2.26
3/8/2016,7,8.69
3/8/2016,8,1.05
3/9/2016,0,4.45
3/9/2016,1,9.92
3/9/2016,2,4.97
3/9/2016,3,4.57
3/9/2016,4,4.78
3/9/2016,5,4.95
3/9/2016,6,4.08
3/9/2016,7,7.52
3/9/2016,8,0.03
3/10/2016,0,0.78
3/10/2016,1,3.34
3/10/2016,2,7.01
3/10/2016,3,6.87
3/10/2016,4,8.07
3/10/2016,5,3.88
3/10/2016,6,8.05
3/10/2016,7,9.93
3/10/2016,8,8.81
3/11/2016,0,7.24
3/11/2016,1,3.42
3/11/2016,2,5.97
3/11/2016,3,3.04
3/11/2016,4,9.23
3/11/2016,5,6.52
3/11/2016,6,5.45
3/11/2016,7,4.79
3/11/2016,8,1.33
3/12/2016,0,8.4
3/12/2016,1,4.79
3/12/2016,2,1.88
3/12/2016,3,0.12
3/12/2016,4,1.88
3/12/2016,5,7.52
3/12/2016,6,1.15
3/12/2016,7,7.39
3/12/2016,8,0.16
3/13/2016,0,4.22
3/13/2016,1,6.73
3/13/2016,2,7.04
3/13/2016,3,7.26
3/13/2016,4,9.02
3/13/2016,5,3.74
3/13/2016,6,0.02
3/13/2016,7,0.59
3/13/2016,8,5.32
3/14/2016,0,4.29
3/14/2016,1,5.41
3/14/2016,2,3.31
3/14/2016,3,4.4
3/14/2016,4,5.64
3/14/2016,5,3.62
3/14/2016,6,5.88
3/14/2016,7,8.61
3/14/2016,8,2.42
3/15/2016,0,8.01
3/15/2016,1,1.41
3/15/2016,2,4.83
3/15/2016,3,6.62
3/15/2016,4,2.1
3/15/2016,5,9.25
3/15/2016,6,5.29
3/15/2016,7,8.87
3/15/2016,8,2.93
3/16/2016,0,4.63
3/16/2016,1,9.73
3/16/2016,2,4.29
3/16/2016,3,5.25
3/16/2016,4,0.24
3/16/2016,5,7.47
3/16/2016,6,4.6
3/16/2016,7,7.52
3/16/2016,8,6.97
3/17/2016,0,8.09
3/17/2016,1,5.67
3/17/2016,2,8.3
3/17/2016,3,7.24
3/17/2016,4,6.96
3/17/2016,5,6.37
3/17/2016,6,0.72
3/17/2016,7,3.98
3/17/2016,8,5.25
3/18/2016,0,0.26
3/18/2016,1,3.48
3/18/2016,2,2.47
3/18/2016,3,4.65
3/18/2016,4,6.21
3/18/2016,5,9.23
3/18/2016,6,0.11
3/18/2016,7,3.56
3/18/2016,8,8.27
3/19/2016,0,5.07
3/19/2016,1,1.32
3/19/2016,2,5.17
3/19/2016,3,7.41
3/19/2016,4,5.04
3/19/2016,5,1
3/19/2016,6,7.73
3/19/2016,7,0.14
3/19/2016,8,2.03
3/20/2016,0,0.09
3/20/2016,1,3.75
3/20/2016,2,9.73
3/20/2016,3,4.59
3/20/2016,4,0.98
3/20/2016,5,8.17
3/20/2016,6,5.95
3/20/2016,7,4.43
3/20/2016,8,9.11
3/21/2016,0,4.97
3/21/2016,1,8.33
3/21/2016,2,2.28
3/21/2016,3,9.04
3/21/2016,4,8.13
3/21/2016,5,5.91
3/21/2016,6,2.72
3/21/2016,7,0.34
3/21/2016,8,5.41
3/22/2016,0,4.16
3/22/2016,1,3.47
3/22/2016,2,8.51
3/22/2016,3,3
3/22/2016,4,5.47
3/22/2016,5,1.38
3/22/2016,6,1.25
3/22/2016,7,4.77
3/22/2016,8,5.45
3/23/2016,0,4.63
3/23/2016,1,8.73
3/23/2016,2,2.54
3/23/2016,3,1.36
3/23/2016,4,0.77
3/23/2016,5,9.32
3/23/2016,6,2.58
3/23/2016,7,2.8
3/23/2016,8,0.99
3/24/2016,0,9.03
3/24/2016,1,9.43
3/24/2016,2,6.94
3/24/2016,3,3.62
3/24/2016,4,3.74
3/24/2016,5,9.99
3/24/2016,6,2.67
3/24/2016,7,4.21
3/24/2016,8,8.05
3/25/2016,0,9.85
3/25/2016,1,8.21
3/25/2016,2,5.2
3/25/2016,3,3.79
3/25/2016,4,8.79
3/25/2016,5,6.82
3/25/2016,6,5.39
3/25/2016,7,4.01
3/25/2016,8,4.57
3/26/2016,0,4.02
3/26/2016,1,8.6
3/26/2016,2,5.47
3/26/2016,3,2.21
3/26/2016,4,7.31
3/26/2016,5,1.01
3/26/2016,6,3.81
3/26/2016,7,1.2
3/26/2016,8,6.64
3/27/2016,0,8.93
3/27/2016,1,0.7
3/27/2016,2,4.46
3/27/2016,3,9.73
3/27/2016,4,2.12
3/27/2016,5,1.57
3/27/2016,6,1.01
3/27/2016,7,1.25
3/27/2016,8,3.09
3/28/2016,0,5.94
3/28/2016,1,8.85
3/28/2016,2,9.33
3/28/2016,3,9.34
3/28/2016,4,9.57
3/28/2016,5,6.18
3/28/2016,6,5.58
3/28/2016,7,3.87
3/28/2016,8,9.34
3/29/2016,0,6.19
3/29/2016,1,7.56
3/29/2016,2,8.99
3/29/2016,3,7.07
3/29/2016,4,5.71
3/29/2016,5,3.33
3/29/2016,6,9.98
3/29/2016,7,8.23
3/29/2016,8,8.38
3/30/2016,0,8.83
3/30/2016,1,7.94
3/30/2016,2,5.07
3/30/2016,3,0.82
3/30/2016,4,7.39
3/30/2016,5,5.82
3/30/2016,6,1.31
3/30/2016,7,4.05
3/30/2016,8,9.95
3/31/2016,0,7.49
3/31/2016,1,7.55
3/31/2016,2,3.27
3/31/2016,3,1.61
3/31/2016,4,7.57
3/31/2016,5,2.09
3/31/2016,6,5.94
3/31/2016,7,6.96
3/31/2016,8,8.79
4/1/2016,0,2.02
4/1/2016,1,2.26
4/1/2016,2,2.22
4/1/2016,3,4.36
4/1/2016,4,3.08
4/1/2016,5,1.94
4/1/2016,6,7.03
4/1/2016,7,5.26
4/1/2016,8,5.19
4/2/2016,0,8.37
4/2/2016,1,2.51
4/2/2016,2,6.21
4/2/2016,3,2.27
4/2/2016,4,4.58
4/2/2016,5,5
4/2/2016,6,9.44
4/2/2016,7,1.4
4/2/2016,8,5.26
4/3/2016,0,6.92
4/3/2016,1,2.47
4/3/2016,2,6.3
4/3/2016,3,5.84
4/3/2016,4,7.13
4/3/2016,5,4.65
4/3/2016,6,4.68
4/3/2016,7,2.51
4/3/2016,8,3.15
4/4/2016,0,7.31
4/4/2016,1,7.03
4/4/2016,2,6.94
4/4/2016,3,6.9
4/4/2016,4,4.07
4/4/2016,5,7.15
4/4/2016,6,5.42
4/4/2016,7,3.5
4/4/2016,8,1.18
4/5/2016,0,0.76
4/5/2016,1,5.21
4/5/2016,2,0.25
4/5/2016,3,2.44
4/5/2016,4,9.5
4/5/2016,5,0.02
4/5/2016,6,8.93
4/5/2016,7,9.73
4/5/2016,8,1.86
4/6/2016,0,2.49
4/6/2016,1,0.06
4/6/2016,2,8.13
4/6/2016,3,1.37
4/6/2016,4,4.19
4/6/2016,5,2.16
4/6/2016,6,4.02
4/6/2016,7,5.1
4/6/2016,8,2.3
4/7/2016,0,2.45
4/7/2016,1,5.68
4/7/2016,2,2.24
4/7/2016,3,8.24
4/7/2016,4,8.24
4/7/2016,5,8.6
4/7/2016,6,3.37
4/7/2016,7,5.2
4/7/2016,8,9.48
4/8/2016,0,1.63
4/8/2016,1,5.89
4/8/2016,2,0.59
4/8/2016,3,3.92
4/8/2016,4,6.34
4/8/2016,5,0.17
4/8/2016,6,4.48
4/8/2016,7,5.99
4/8/2016,8,8.69
4/9/2016,0,3.76
4/9/2016,1,7.11
4/9/2016,2,9.26
4/9/2016,3,1.45
4/9/2016,4,8.41
4/9/2016,5,6.78
4/9/2016,6,0.16
4/9/2016,7,6.08
4/9/2016,8,5.39
4/10/2016,0,4.74
4/10/2016,1,7.8
4/10/2016,2,4.62
4/10/2016,3,0.11
4/10/2016,4,4.62
4/10/2016,5,0.33
4/10/2016,6,6.14
4/10/2016,7,6.36
4/10/2016,8,2.85
4/11/2016,0,3.77
4/11/2016,1,6.8
4/11/2016,2,3.36
4/11/2016,3,0.45
4/11/2016,4,2.93
4/11/2016,5,9.98
4/11/2016,6,6.81
4/11/2016,7,8.1
4/11/2016,8,7.57
4/12/2016,0,0.5
4/12/2016,1,6.14
4/12/2016,2,4.41
4/12/2016,3,8.9
4/12/2016,4,7.31
4/12/2016,5,5.89
4/12/2016,6,1.06
4/12/2016,7,3.08
4/12/2016,8,0.06
4/13/2016,0,8.6
4/13/2016,1,0.11
4/13/2016,2,8.47
4/13/2016,3,8.11
4/13/2016,4,0.38
4/13/2016,5,5.56
4/13/2016,6,3.04
4/13/2016,7,4.85
4/13/2016,8,7.99
4/14/2016,0,5.79
4/14/2016,1,6.72
4/14/2016,2,6.48
4/14/2016,3,7.78
4/14/2016,4,3.93
4/14/2016,5,1
4/14/2016,6,1.86
4/14/2016,7,3.22
4/14/2016,8,0.16
4/15/2016,0,4.76
4/15/2016,1,9.23
4/15/2016,2,6.98
4/15/2016,3,4.11
4/15/2016,4,1.03
4/15/2016,5,6.6
4/15/2016,6,8.06
4/15/2016,7,5.28
4/15/2016,8,3.9
4/16/2016,0,4.43
4/16/2016,1,2.03
4/16/2016,2,6.79
4/16/2016,3,8.9
4/16/2016,4,3.75
4/16/2016,5,4.9
4/16/2016,6,0.71
4/16/2016,7,2.8
4/16/2016,8,7.64
4/17/2016,0,6.95
4/17/2016,1,3.48
4/17/2016,2,0.74
4/17/2016,3,1.55
4/17/2016,4,3.3
4/17/2016,5,6.37
4/17/2016,6,9.82
4/17/2016,7,6.07
4/17/2016,8,2.15
4/18/2016,0,8.92
4/18/2016,1,7.85
4/18/2016,2,6.29
4/18/2016,3,9.99
4/18/2016,4,3.34
4/18/2016,5,5.62
4/18/2016,6,3.19
4/18/2016,7,5.42
4/18/2016,8,3.4
4/19/2016,0,8.85
4/19/2016,1,5.99
4/19/2016,2,9.76
4/19/2016,3,4.92
4/19/2016,4,3.26
4/19/2016,5,9.23
4/19/2016,6,3.05
4/19/2016,7,3.61
4/19/2016,8,2.76
4/20/2016,0,4.51
4/20/2016,1,8.77
4/20/2016,2,2.4
4/20/2016,3,5.73
4/20/2016,4,5.03
4/20/2016,5,9.01
4/20/2016,6,2.63
4/20/2016,7,9.1
4/20/2016,8,0.26
4/21/2016,0,4.79
4/21/2016,1,2.58
4/21/2016,2,3.32
4/21/2016,3,9.58
4/21/2016,4,2.82
4/21/2016,5,2.43
4/21/2016,6,3.72
4/21/2016,7,5.76
4/21/2016,8,0.9
4/22/2016,0,6.78
4/22/2016,1,5.7
4/22/2016,2,3.94
4/22/2016,3,8.99
4/22/2016,4,4.79
4/22/2016,5,1.47
4/22/2016,6,7.13
4/22/2016,7,2.04
4/22/2016,8,3.16
4/23/2016,0,6.08
4/23/2016,1,6.65
4/23/2016,2,3.58
4/23/2016,3,8.82
4/23/2016,4,9.27
4/23/2016,5,4.91
4/23/2016,6,6.14
4/23/2016,7,7.17
4/23/2016,8,7.27
4/24/2016,0,8.36
4/24/2016,1,5.94
4/24/2016,2,5.97
4/24/2016,3,5.89
4/24/2016,4,0.12
4/24/2016,5,4.07
4/24/2016,6,7.05
4/24/2016,7,2.2
4/24/2016,8,6
4/25/2016,0,6.11
4/25/2016,1,5.91
4/25/2016,2,6.83
4/25/2016,3,2.04
4/25/2016,4,5.17
4/25/2016,5,3.91
4/25/2016,6,3.59
4/25/2016,7,8.94
4/25/2016,8,0.79
4/26/2016,0,8.98
4/26/2016,1,5.63
4/26/2016,2,6.67
4/26/2016,3,7.66
4/26/2016,4,8.68
4/26/2016,5,0.25
4/26/2016,6,2.56
4/26/2016,7,3.57
4/26/2016,8,3.61
4/27/2016,0,5.18
4/27/2016,1,7.33
4/27/2016,2,5.62
4/27/2016,3,0.23
4/27/2016,4,9.93
4/27/2016,5,6.82
4/27/2016,6,7.3
4/27/2016,7,9.5
4/27/2016,8,5.11
4/28/2016,0,1.22
4/28/2016,1,6.86
4/28/2016,2,1.92
4/28/2016,3,0.94
4/28/2016,4,0.04
4/28/2016,5,9.09
4/28/2016,6,9.93
4/28/2016,7,3.99
4/28/2016,8,8.55
4/29/2016,0,8.38
4/29/2016,1,6.09
4/29/2016,2,7.64
4/29/2016,3,0.55
4/29/2016,4,1.07
4/29/2016,5,8.9
