Month,Year,Precip
6,1/25/2014,8.49
7,1/25/2014,3.36
8,1/25/2014,1.57
9,1/25/2014,4.09
10,1/25/2014,2.21
11,1/25/2014,6.26
0,1/26/2014,5.71
1,1/26/2014,2.37
2,1/26/2014,8.14
3,1/26/2014,3.44
4,1/26/2014,0.46
5,1/26/2014,4.51
6,1/26/2014,9.85
7,1/26/2014,3.98
8,1/26/2014,7.94
9,1/26/2014,0.46
10,1/26/2014,9.43
11,1/26/2014,2.52
0,1/27/2014,9.86
1,1/27/2014,5.40
2,1/27/2014,6.40
3,1/27/2014,6.33
4,1/27/2014,9.03
5,1/27/2014,8.02
6,1/27/2014,2.85
7,1/27/2014,6.84
8,1/27/2014,5.46
9,1/27/2014,2.72
10,1/27/2014,3.32
11,1/27/2014,8.97
0,1/28/2014,7.41
1,1/28/2014,8.01
2,1/28/2014,3.81
3,1/28/2014,0.17
4,1/28/2014,9.54
5,1/28/2014,4.42
6,1/28/2014,4.92
7,1/28/2014,7.21
8,1/28/2014,2.43
9,1/28/2014,9.43
10,1/28/2014,0.53
11,1/28/2014,3.03
0,1/29/2014,0.68
1,1/29/2014,3.19
2,1/29/2014,4.73
3,1/29/2014,7.57
4,1/29/2014,9.26
5,1/29/2014,8.77
6,1/29/2014,6.62
7,1/29/2014,6.56
8,1/29/2014,1.50
9,1/29/2014,2.87
10,1/29/2014,4.71
11,1/29/2014,9.31
0,1/30/2014,5.12
1,1/30/2014,7.94
2,1/30/2014,0.14
3,1/30/2014,2.30
4,1/30/2014,6.96
5,1/30/2014,4.96
6,1/30/2014,0.39
7,1/30/2014,8.20
8,1/30/2014,0.92
9,1/30/2014,6.61
10,1/30/2014,3.78
11,1/30/2014,1.05
0,1/31/2014,8.32
1,1/31/2014,4.36
2,1/31/2014,7.71
3,1/31/2014,7.08
4,1/31/2014,4.43
5,1/31/2014,9.30
6,1/31/2014,2.92
7,1/31/2014,7.06
8,1/31/2014,0.24
9,1/31/2014,5.93
10,1/31/2014,9.63
11,1/31/2014,0.71
0,2/1/2014,3.78
1,2/1/2014,9.94
2,2/1/2014,0.93
3,2/1/2014,5.78
4,2/1/2014,1.06
5,2/1/2014,6.04
6,2/1/2014,3.26
7,2/1/2014,4.28
8,2/1/2014,2.72
9,2/1/2014,9.52
10,2/1/2014,3.89
11,2/1/2014,6.41
0,2/2/2014,8.88
1,2/2/2014,5.65
2,2/2/2014,0.57
3,2/2/2014,8.21
4,2/2/2014,1.21
5,2/2/2014,4.40
6,2/2/2014,8.79
7,2/2/2014,2.47
8,2/2/2014,8.34
9,2/2/2014,3.99
10,2/2/2014,8.46
11,2/2/2014,3.61
0,2/3/2014,7.82
1,2/3/2014,5.76
2,2/3/2014,2.41
3,2/3/2014,6.50
4,2/3/2014,5.75
5,2/3/2014,4.53
6,2/3/2014,6.24
7,2/3/2014,5.82
8,2/3/2014,2.62
9,2/3/2014,3.14
10,2/3/2014,0.17
11,2/3/2014,7.44
0,2/4/2014,2.62
1,2/4/2014,7.33
2,2/4/2014,1.33
3,2/4/2014,5.78
4,2/4/2014,1.88
5,2/4/2014,7.18
6,2/4/2014,6.83
7,2/4/2014,1.43
8,2/4/2014,9.98
9,2/4/2014,4.26
10,2/4/2014,6.10
11,2/4/2014,1.28
0,2/5/2014,8.40
1,2/5/2014,9.64
2,2/5/2014,3.58
3,2/5/2014,9.77
4,2/5/2014,8.75
5,2/5/2014,6.30
6,2/5/2014,1.84
7,2/5/2014,3.02
8,2/5/2014,3.71
9,2/5/2014,0.93
10,2/5/2014,8.27
11,2/5/2014,9.86
0,2/6/2014,3.48
1,2/6/2014,4.55
2,2/6/2014,7.77
3,2/6/2014,2.55
4,2/6/2014,0.95
5,2/6/2014,8.02
6,2/6/2014,8.38
7,2/6/2014,7.60
8,2/6/2014,9.69
9,2/6/2014,8.90
10,2/6/2014,5.81
11,2/6/2014,1.92
0,2/7/2014,9.69
1,2/7/2014,8.13
2,2/7/2014,8.48
3,2/7/2014,2.33
4,2/7/2014,7.19
5,2/7/2014,1.16
6,2/7/2014,4.33
7,2/7/2014,7.24
8,2/7/2014,6.59
9,2/7/2014,5.94
10,2/7/2014,6.64
11,2/7/2014,7.64
0,2/8/2014,4.51
1,2/8/2014,1.52
2,2/8/2014,6.58
3,2/8/2014,0.78
4,2/8/2014,8.01
5,2/8/2014,4.86
6,2/8/2014,6.83
7,2/8/2014,4.16
8,2/8/2014,2.00
9,2/8/2014,0.22
10,2/8/2014,1.75
11,2/8/2014,9.05
0,2/9/2014,3.50
1,2/9/2014,4.99
2,2/9/2014,6.49
3,2/9/2014,2.77
4,2/9/2014,3.56
5,2/9/2014,8.23
6,2/9/2014,9.64
7,2/9/2014,6.31
8,2/9/2014,1.47
9,2/9/2014,3.27
10,2/9/2014,1.39
11,2/9/2014,9.09
0,2/10/2014,9.52
1,2/10/2014,3.82
2,2/10/2014,1.81
3,2/10/2014,6.04
4,2/10/2014,0.63
5,2/10/2014,3.67
6,2/10/2014,2.13
7,2/10/2014,2.94
8,2/10/2014,5.91
9,2/10/2014,3.90
10,2/10/2014,5.07
11,2/10/2014,4.78
0,2/11/2014,3.78
1,2/11/2014,7.65
2,2/11/2014,9.09
3,2/11/2014,8.52
4,2/11/2014,7.39
5,2/11/2014,1.91
6,2/11/2014,5.35
7,2/11/2014,5.86
8,2/11/2014,2.53
9,2/11/2014,7.89
10,2/11/2014,5.45
11,2/11/2014,4.04
0,2/12/2014,4.03
1,2/12/2014,6.16
2,2/12/2014,2.76
3,2/12/2014,2.55
4,2/12/2014,4.28
5,2/12/2014,0.57
6,2/12/2014,9.99
7,2/12/2014,1.47
8,2/12/2014,4.50
9,2/12/2014,5.48
10,2/12/2014,0.81
11,2/12/2014,2.89
0,2/13/2014,5.29
1,2/13/2014,4.00
2,2/13/2014,4.21
3,2/13/2014,0.15
4,2/13/2014,0.62
5,2/13/2014,1.04
6,2/13/2014,5.63
7,2/13/2014,1.04
8,2/13/2014,6.15
9,2/13/2014,4.08
10,2/13/2014,0.67
11,2/13/2014,0.14
0,2/14/2014,0.84
1,2/14/2014,6.04
2,2/14/2014,3.22
3,2/14/2014,2.25
4,2/14/2014,8.30
5,2/14/2014,9.34
6,2/14/2014,1.87
7,2/14/2014,3.75
8,2/14/2014,2.75
9,2/14/2014,7.49
10,2/14/2014,5.54
11,2/14/2014,1.15
0,2/15/2014,3.10
1,2/15/2014,0.91
2,2/15/2014,1.72
3,2/15/2014,6.24
4,2/15/2014,7.08
5,2/15/2014,6.37
6,2/15/2014,8.43
7,2/15/2014,5.80
8,2/15/2014,7.06
9,2/15/2014,5.38
10,2/15/2014,3.96
11,2/15/2014,9.26
0,2/16/2014,8.21
1,2/16/2014,5.66
2,2/16/2014,7.17
3,2/16/2014,1.96
4,2/16/2014,9.58
5,2/16/2014,0.74
6,2/16/2014,4.33
7,2/16/2014,2.85
8,2/16/2014,8.89
9,2/16/2014,7.54
10,2/16/2014,7.79
11,2/16/2014,5.00
0,2/17/2014,2.03
1,2/17/2014,8.38
2,2/17/2014,6.14
3,2/17/2014,4.62
4,2/17/2014,9.01
5,2/17/2014,3.97
6,2/17/2014,4.73
7,2/17/2014,9.04
8,2/17/2014,9.38
9,2/17/2014,6.47
10,2/17/2014,0.92
11,2/17/2014,7.03
0,2/18/2014,1.03
1,2/18/2014,7.31
2,2/18/2014,8.14
3,2/18/2014,5.69
4,2/18/2014,8.30
5,2/18/2014,2.54
6,2/18/2014,8.75
7,2/18/2014,6.15
8,2/18/2014,7.22
9,2/18/2014,9.95
10,2/18/2014,6.43
11,2/18/2014,6.99
0,2/19/2014,7.80
1,2/19/2014,5.61
2,2/19/2014,5.00
3,2/19/2014,8.11
4,2/19/2014,6.07
5,2/19/2014,4.71
6,2/19/2014,2.13
7,2/19/2014,9.81
8,2/19/2014,1.42
9,2/19/2014,0.79
10,2/19/2014,3.08
11,2/19/2014,1.44
0,2/20/2014,7.98
1,2/20/2014,9.92
2,2/20/2014,1.94
3,2/20/2014,1.51
4,2/20/2014,2.19
5,2/20/2014,1.60
6,2/20/2014,5.00
7,2/20/2014,6.54
8,2/20/2014,2.90
9,2/20/2014,5.98
10,2/20/2014,3.92
11,2/20/2014,8.99
0,2/21/2014,4.04
1,2/21/2014,7.98
2,2/21/2014,4.14
3,2/21/2014,5.53
4,2/21/2014,4.70
5,2/21/2014,2.37
6,2/21/2014,7.61
7,2/21/2014,5.86
8,2/21/2014,6.10
9,2/21/2014,0.24
10,2/21/2014,7.28
11,2/21/2014,8.56
0,2/22/2014,0.01
1,2/22/2014,6.75
2,2/22/2014,5.22
3,2/22/2014,5.09
4,2/22/2014,8.62
5,2/22/2014,1.79
6,2/22/2014,5.09
7,2/22/2014,5.16
8,2/22/2014,1.56
9,2/22/2014,0.24
10,2/22/2014,4.55
11,2/22/2014,6.68
0,2/23/2014,1.78
1,2/23/2014,6.16
2,2/23/2014,3.22
3,2/23/2014,1.37
4,2/23/2014,8.39
5,2/23/2014,5.55
6,2/23/2014,6.73
7,2/23/2014,2.68
8,2/23/2014,1.14
9,2/23/2014,5.96
10,2/23/2014,8.25
11,2/23/2014,6.29
0,2/24/2014,8.20
1,2/24/2014,6.91
2,2/24/2014,4.61
3,2/24/2014,4.31
4,2/24/2014,6.22
5,2/24/2014,4.29
6,2/24/2014,5.42
7,2/24/2014,4.06
8,2/24/2014,9.21
9,2/24/2014,3.60
10,2/24/2014,9.82
11,2/24/2014,8.34
0,2/25/2014,0.68
1,2/25/2014,1.30
2,2/25/2014,7.72
3,2/25/2014,9.61
4,2/25/2014,1.64
5,2/25/2014,1.00
6,2/25/2014,9.17
7,2/25/2014,2.46
8,2/25/2014,5.69
9,2/25/2014,1.42
10,2/25/2014,7.98
11,2/25/2014,9.23
0,2/26/2014,1.28
1,2/26/2014,5.88
2,2/26/2014,3.68
3,2/26/2014,1.95
4,2/26/2014,0.09
5,2/26/2014,9.01
6,2/26/2014,8.63
7,2/26/2014,9.44
8,2/26/2014,0.39
9,2/26/2014,4.97
10,2/26/2014,5.76
11,2/26/2014,2.29
0,2/27/2014,3.69
1,2/27/2014,2.74
2,2/27/2014,5.89
3,2/27/2014,0.16
4,2/27/2014,3.13
5,2/27/2014,8.46
6,2/27/2014,2.75
7,2/27/2014,4.91
8,2/27/2014,2.55
9,2/27/2014,1.70
10,2/27/2014,7.89
11,2/27/2014,0.58
0,2/28/2014,5.89
1,2/28/2014,2.48
2,2/28/2014,7.59
3,2/28/2014,5.98
4,2/28/2014,7.41
5,2/28/2014,8.44
6,2/28/2014,8.55
7,2/28/2014,8.77
8,2/28/2014,4.88
9,2/28/2014,7.19
10,2/28/2014,9.54
11,2/28/2014,0.22
0,3/1/2014,9.17
1,3/1/2014,6.89
2,3/1/2014,1.69
3,3/1/2014,8.50
4,3/1/2014,6.04
5,3/1/2014,9.59
6,3/1/2014,0.92
7,3/1/2014,4.64
8,3/1/2014,7.68
9,3/1/2014,5.42
10,3/1/2014,2.34
11,3/1/2014,9.17
0,3/2/2014,4.85
1,3/2/2014,2.62
2,3/2/2014,7.76
3,3/2/2014,9.45
4,3/2/2014,2.55
5,3/2/2014,8.03
6,3/2/2014,4.47
7,3/2/2014,7.53
8,3/2/2014,6.07
9,3/2/2014,4.71
10,3/2/2014,5.23
11,3/2/2014,5.64
0,3/3/2014,7.39
1,3/3/2014,8.89
2,3/3/2014,7.33
3,3/3/2014,1.87
4,3/3/2014,5.87
5,3/3/2014,6.25
6,3/3/2014,0.85
7,3/3/2014,1.75
8,3/3/2014,1.25
9,3/3/2014,8.12
10,3/3/2014,4.56
11,3/3/2014,2.39
0,3/4/2014,1.58
1,3/4/2014,2.32
2,3/4/2014,1.29
3,3/4/2014,4.38
4,3/4/2014,3.37
5,3/4/2014,9.19
6,3/4/2014,3.11
7,3/4/2014,3.68
8,3/4/2014,6.31
9,3/4/2014,3.00
10,3/4/2014,0.81
11,3/4/2014,9.64
0,3/5/2014,0.35
1,3/5/2014,0.79
2,3/5/2014,1.42
3,3/5/2014,7.71
4,3/5/2014,8.80
5,3/5/2014,5.56
6,3/5/2014,2.07
7,3/5/2014,5.47
8,3/5/2014,6.74
9,3/5/2014,8.47
10,3/5/2014,8.64
11,3/5/2014,8.32
0,3/6/2014,0.82
1,3/6/2014,5.07
2,3/6/2014,2.45
3,3/6/2014,6.77
4,3/6/2014,2.93
5,3/6/2014,3.98
6,3/6/2014,9.45
7,3/6/2014,0.85
8,3/6/2014,7.15
9,3/6/2014,2.50
10,3/6/2014,1.52
11,3/6/2014,8.33
0,3/7/2014,6.78
1,3/7/2014,2.55
2,3/7/2014,1.28
3,3/7/2014,2.58
4,3/7/2014,5.88
5,3/7/2014,1.99
6,3/7/2014,7.91
7,3/7/2014,2.60
8,3/7/2014,7.48
9,3/7/2014,1.13
10,3/7/2014,3.43
11,3/7/2014,2.80
0,3/8/2014,8.88
1,3/8/2014,1.29
2,3/8/2014,6.13
3,3/8/2014,2.16
4,3/8/2014,3.24
5,3/8/2014,2.74
6,3/8/2014,9.92
7,3/8/2014,3.22
8,3/8/2014,5.00
9,3/8/2014,2.06
10,3/8/2014,6.59
11,3/8/2014,9.00
0,3/9/2014,6.36
1,3/9/2014,4.95
2,3/9/2014,0.57
3,3/9/2014,2.31
4,3/9/2014,1.13
5,3/9/2014,9.06
6,3/9/2014,4.45
7,3/9/2014,5.40
8,3/9/2014,2.14
9,3/9/2014,2.73
10,3/9/2014,7.15
11,3/9/2014,9.56
0,3/10/2014,8.62
1,3/10/2014,9.94
2,3/10/2014,5.44
3,3/10/2014,3.70
4,3/10/2014,0.24
5,3/10/2014,8.64
6,3/10/2014,4.09
7,3/10/2014,8.10
8,3/10/2014,5.04
9,3/10/2014,9.59
10,3/10/2014,9.37
11,3/10/2014,4.51
0,3/11/2014,0.02
1,3/11/2014,5.52
2,3/11/2014,5.57
3,3/11/2014,6.66
4,3/11/2014,3.87
5,3/11/2014,5.72
6,3/11/2014,4.50
7,3/11/2014,5.77
8,3/11/2014,3.42
9,3/11/2014,9.76
10,3/11/2014,3.51
11,3/11/2014,4.33
0,3/12/2014,7.20
1,3/12/2014,4.83
2,3/12/2014,8.31
3,3/12/2014,7.27
4,3/12/2014,1.74
5,3/12/2014,5.35
6,3/12/2014,3.24
7,3/12/2014,4.19
8,3/12/2014,8.88
9,3/12/2014,0.07
10,3/12/2014,2.97
11,3/12/2014,7.89
0,3/13/2014,5.24
1,3/13/2014,1.56
2,3/13/2014,6.46
3,3/13/2014,4.15
4,3/13/2014,8.26
5,3/13/2014,5.14
6,3/13/2014,6.19
7,3/13/2014,5.38
8,3/13/2014,6.64
9,3/13/2014,9.73
10,3/13/2014,3.15
11,3/13/2014,6.03
0,3/14/2014,6.97
1,3/14/2014,0.85
2,3/14/2014,0.44
3,3/14/2014,0.63
4,3/14/2014,2.42
5,3/14/2014,6.87
6,3/14/2014,7.11
7,3/14/2014,6.46
8,3/14/2014,3.83
9,3/14/2014,3.37
10,3/14/2014,6.38
11,3/14/2014,1.58
0,3/15/2014,8.29
1,3/15/2014,6.49
2,3/15/2014,1.84
3,3/15/2014,5.40
4,3/15/2014,5.47
5,3/15/2014,5.89
6,3/15/2014,8.61
7,3/15/2014,3.57
8,3/15/2014,7.36
9,3/15/2014,9.55
10,3/15/2014,6.24
11,3/15/2014,0.87
0,3/16/2014,2.55
1,3/16/2014,7.68
2,3/16/2014,4.34
3,3/16/2014,6.14
4,3/16/2014,2.65
5,3/16/2014,0.80
6,3/16/2014,2.13
7,3/16/2014,0.81
8,3/16/2014,4.33
9,3/16/2014,7.17
10,3/16/2014,8.28
11,3/16/2014,8.40
0,3/17/2014,7.42
1,3/17/2014,8.44
2,3/17/2014,7.85
3,3/17/2014,5.68
4,3/17/2014,6.40
5,3/17/2014,8.23
6,3/17/2014,9.24
7,3/17/2014,7.70
8,3/17/2014,9.75
9,3/17/2014,7.36
10,3/17/2014,4.96
11,3/17/2014,7.53
0,3/18/2014,9.37
1,3/18/2014,1.16
2,3/18/2014,6.77
3,3/18/2014,8.88
4,3/18/2014,0.21
5,3/18/2014,8.91
6,3/18/2014,7.43
7,3/18/2014,4.24
8,3/18/2014,8.26
9,3/18/2014,2.56
10,3/18/2014,8.38
11,3/18/2014,3.68
0,3/19/2014,3.78
1,3/19/2014,2.49
2,3/19/2014,5.23
3,3/19/2014,9.83
4,3/19/2014,5.39
5,3/19/2014,0.57
6,3/19/2014,0.59
7,3/19/2014,2.76
8,3/19/2014,9.85
9,3/19/2014,6.85
10,3/19/2014,6.76
11,3/19/2014,4.26
0,3/20/2014,1.67
1,3/20/2014,4.81
2,3/20/2014,9.43
3,3/20/2014,4.90
4,3/20/2014,6.72
5,3/20/2014,1.38
6,3/20/2014,6.91
7,3/20/2014,8.83
8,3/20/2014,3.86
9,3/20/2014,2.31
10,3/20/2014,8.55
11,3/20/2014,0.58
0,3/21/2014,9.15
1,3/21/2014,0.34
2,3/21/2014,0.40
3,3/21/2014,5.45
4,3/21/2014,7.84
5,3/21/2014,3.78
6,3/21/2014,5.61
7,3/21/2014,9.83
8,3/21/2014,0.45
9,3/21/2014,5.30
10,3/21/2014,2.09
11,3/21/2014,1.03
0,3/22/2014,0.44
1,3/22/2014,6.75
2,3/22/2014,0.18
3,3/22/2014,6.39
4,3/22/2014,2.83
5,3/22/2014,3.69
6,3/22/2014,8.74
7,3/22/2014,0.20
8,3/22/2014,4.86
9,3/22/2014,4.63
10,3/22/2014,8.64
11,3/22/2014,3.07
0,3/23/2014,2.26
1,3/23/2014,3.84
2,3/23/2014,9.24
3,3/23/2014,2.51
4,3/23/2014,7.19
5,3/23/2014,3.34
6,3/23/2014,4.51
7,3/23/2014,5.38
8,3/23/2014,6.71
9,3/23/2014,9.19
10,3/23/2014,2.59
11,3/23/2014,2.52
0,3/24/2014,4.15
1,3/24/2014,9.57
2,3/24/2014,4.57
3,3/24/2014,3.35
4,3/24/2014,8.94
5,3/24/2014,7.30
6,3/24/2014,5.56
7,3/24/2014,3.77
8,3/24/2014,4.49
9,3/24/2014,7.40
10,3/24/2014,4.21
11,3/24/2014,3.48
0,3/25/2014,7.83
1,3/25/2014,1.25
2,3/25/2014,4.52
3,3/25/2014,0.08
4,3/25/2014,9.16
5,3/25/2014,2.15
6,3/25/2014,7.46
7,3/25/2014,5.92
8,3/25/2014,4.26
9,3/25/2014,3.96
10,3/25/2014,8.33
11,3/25/2014,0.26
0,3/26/2014,7.75
1,3/26/2014,3.31
2,3/26/2014,0.04
3,3/26/2014,3.76
4,3/26/2014,0.62
5,3/26/2014,8.19
6,3/26/2014,1.62
7,3/26/2014,4.47
8,3/26/2014,1.25
9,3/26/2014,0.46
10,3/26/2014,5.92
11,3/26/2014,4.36
0,3/27/2014,4.98
1,3/27/2014,7.54
2,3/27/2014,0.49
3,3/27/2014,3.57
4,3/27/2014,3.73
5,3/27/2014,8.91
6,3/27/2014,0.72
7,3/27/2014,4.88
8,3/27/2014,3.95
9,3/27/2014,6.50
10,3/27/2014,5.00
11,3/27/2014,4.53
0,3/28/2014,7.83
1,3/28/2014,4.07
2,3/28/2014,7.50
3,3/28/2014,6.75
4,3/28/2014,0.30
5,3/28/2014,9.57
6,3/28/2014,5.29
7,3/28/2014,8.26
8,3/28/2014,1.74
9,3/28/2014,6.23
10,3/28/2014,3.12
11,3/28/2014,6.32
0,3/29/2014,4.27
1,3/29/2014,2.68
2,3/29/2014,0.88
3,3/29/2014,7.98
4,3/29/2014,7.70
5,3/29/2014,9.78
6,3/29/2014,5.93
7,3/29/2014,1.34
8,3/29/2014,9.82
9,3/29/2014,1.91
10,3/29/2014,4.97
11,3/29/2014,9.41
0,3/30/2014,4.42
1,3/30/2014,3.52
2,3/30/2014,7.76
3,3/30/2014,5.65
4,3/30/2014,9.61
5,3/30/2014,7.61
6,3/30/2014,8.16
7,3/30/2014,6.07
8,3/30/2014,8.66
9,3/30/2014,1.14
10,3/30/2014,6.17
11,3/30/2014,6.59
0,3/31/2014,4.97
1,3/31/2014,4.20
2,3/31/2014,8.59
3,3/31/2014,5.74
4,3/31/2014,3.34
5,3/31/2014,3.51
6,3/31/2014,4.73
